,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,previsao_dano_na_plantacao
81940,SCROP81941,448,0,0,2,40,30.0,1,2,0
81941,SCROP81942,448,0,0,2,80,29.0,3,2,0
81942,SCROP81943,488,0,0,2,10,15.0,12,2,0
81943,SCROP81944,488,0,0,2,10,23.0,2,3,0
81944,SCROP81945,488,0,0,2,10,25.0,1,2,0
81945,SCROP81946,488,0,0,2,15,10.0,17,2,0
81946,SCROP81947,488,0,0,2,20,13.0,15,2,0
81947,SCROP81948,488,0,0,2,20,15.0,7,2,0
81948,SCROP81949,488,0,0,2,20,16.0,13,2,0
81949,SCROP81950,488,0,0,2,20,20.0,7,1,0
81950,SCROP81951,488,0,0,2,20,21.0,2,3,0
81951,SCROP81952,488,0,0,2,20,23.0,9,2,0
81952,SCROP81953,488,0,0,2,25,30.0,2,1,0
81953,SCROP81954,488,0,0,2,30,26.0,1,2,0
81954,SCROP81955,488,0,0,2,40,26.0,9,1,0
81955,SCROP81956,488,0,0,2,40,27.0,4,3,0
81956,SCROP81957,489,0,0,2,40,28.0,4,2,0
81957,SCROP81958,488,0,0,2,50,18.0,9,1,0
81958,SCROP81959,531,0,0,2,20,17.0,17,2,0
81959,SCROP81960,531,0,0,2,10,11.0,17,1,0
81960,SCROP81961,531,0,0,2,10,20.0,13,2,0
81961,SCROP81962,531,0,0,2,20,,12,3,0
81962,SCROP81963,531,0,0,2,25,21.0,13,3,0
81963,SCROP81964,531,0,0,2,25,25.0,7,2,0
81964,SCROP81965,531,0,0,2,25,30.0,6,3,0
81965,SCROP81966,531,0,0,2,30,14.0,15,2,0
81966,SCROP81967,531,0,0,2,40,17.0,14,2,0
81967,SCROP81968,531,0,0,2,40,20.0,10,1,0
81968,SCROP81969,531,0,0,2,40,27.0,8,2,0
81969,SCROP81970,531,0,0,2,45,25.0,2,2,0
81970,SCROP81971,531,0,0,2,50,16.0,16,3,0
81971,SCROP81972,531,0,0,2,70,32.0,3,3,0
81972,SCROP81973,577,0,0,2,5,12.0,17,1,0
81973,SCROP81974,577,0,0,2,10,20.0,5,2,0
81974,SCROP81975,577,0,0,2,20,5.0,19,1,0
81975,SCROP81976,577,0,0,2,20,,15,2,0
81976,SCROP81977,577,0,0,2,20,18.0,13,1,0
81977,SCROP81978,577,0,0,2,20,19.0,9,2,0
81978,SCROP81979,577,0,0,2,20,30.0,6,1,0
81979,SCROP81980,577,0,0,2,30,16.0,12,2,0
81980,SCROP81981,577,0,0,2,40,22.0,19,2,0
81981,SCROP81982,577,0,0,2,40,24.0,7,1,0
81982,SCROP81983,577,0,0,2,50,20.0,13,1,0
81983,SCROP81984,577,0,0,2,70,18.0,15,2,0
81984,SCROP81985,626,0,0,2,5,14.0,20,1,0
81985,SCROP81986,625,0,0,2,10,27.0,10,2,0
81986,SCROP81987,625,0,0,2,15,12.0,20,2,0
81987,SCROP81988,625,0,0,2,15,14.0,16,3,0
81988,SCROP81989,626,0,0,2,15,29.0,6,1,0
81989,SCROP81990,626,0,0,2,20,25.0,14,1,0
81990,SCROP81991,625,0,0,2,20,31.0,5,3,0
81991,SCROP81992,626,0,0,2,40,,7,2,0
81992,SCROP81993,625,0,0,2,60,28.0,9,1,0
81993,SCROP81994,626,0,0,2,20,,2,2,0
81994,SCROP81995,677,0,0,2,10,27.0,1,1,0
81995,SCROP81996,677,0,0,2,15,12.0,21,1,0
81996,SCROP81997,677,0,0,2,15,13.0,19,2,0
81997,SCROP81998,677,0,0,2,20,13.0,17,1,0
81998,SCROP81999,677,0,0,2,20,25.0,9,3,0
81999,SCROP82000,677,0,0,2,20,36.0,1,3,0
82000,SCROP82001,677,0,0,2,20,37.0,4,3,0
82001,SCROP82002,677,0,0,2,25,27.0,6,2,0
82002,SCROP82003,677,0,0,2,25,29.0,2,3,0
82003,SCROP82004,677,0,0,2,30,22.0,4,2,0
82004,SCROP82005,677,0,0,2,30,31.0,2,1,0
82005,SCROP82006,677,0,0,2,35,25.0,7,2,0
82006,SCROP82007,677,0,0,2,40,13.0,18,2,0
82007,SCROP82008,677,0,0,2,40,20.0,14,2,0
82008,SCROP82009,677,0,0,2,40,25.0,12,2,0
82009,SCROP82010,677,0,0,2,40,33.0,5,2,0
82010,SCROP82011,677,0,0,2,50,28.0,7,3,0
82011,SCROP82012,677,0,0,2,20,26.0,13,1,0
82012,SCROP82013,732,0,0,2,5,37.0,1,2,0
82013,SCROP82014,731,0,0,2,10,15.0,7,2,0
82014,SCROP82015,732,0,0,2,10,19.0,18,3,0
82015,SCROP82016,731,0,0,2,15,24.0,10,2,0
82016,SCROP82017,732,0,0,2,15,27.0,7,3,0
82017,SCROP82018,731,0,0,2,20,13.0,21,3,0
82018,SCROP82019,731,0,0,2,20,16.0,20,2,0
82019,SCROP82020,732,0,0,2,20,19.0,12,2,0
82020,SCROP82021,731,0,0,2,20,26.0,4,1,0
82021,SCROP82022,731,0,0,2,20,26.0,10,1,0
82022,SCROP82023,732,0,0,2,20,27.0,12,3,0
82023,SCROP82024,731,0,0,2,20,32.0,5,1,0
82024,SCROP82025,732,0,0,2,20,34.0,4,2,0
82025,SCROP82026,732,0,0,2,30,14.0,20,2,0
82026,SCROP82027,731,0,0,2,30,25.0,5,1,0
82027,SCROP82028,732,0,0,2,30,30.0,4,3,0
82028,SCROP82029,731,0,0,2,30,34.0,0,1,0
82029,SCROP82030,732,0,0,2,30,36.0,2,2,0
82030,SCROP82031,731,0,0,2,40,11.0,22,2,0
82031,SCROP82032,732,0,0,2,40,19.0,14,1,0
82032,SCROP82033,731,0,0,2,45,34.0,3,2,0
82033,SCROP82034,731,0,0,2,50,30.0,8,1,0
82034,SCROP82035,732,0,0,2,60,19.0,19,2,0
82035,SCROP82036,731,0,0,2,60,26.0,11,2,0
82036,SCROP82037,732,0,0,2,60,35.0,1,1,0
82037,SCROP82038,731,0,0,2,80,34.0,1,2,0
82038,SCROP82039,732,0,0,2,40,12.0,20,3,0
82039,SCROP82040,731,0,0,2,30,34.0,4,2,0
82040,SCROP82041,732,0,0,2,60,36.0,2,1,0
82041,SCROP82042,790,0,0,2,10,,10,2,0
82042,SCROP82043,790,0,0,2,10,25.0,8,1,0
82043,SCROP82044,789,0,0,2,10,29.0,1,1,0
82044,SCROP82045,789,0,0,2,15,12.0,23,1,0
82045,SCROP82046,790,0,0,2,15,,14,1,0
82046,SCROP82047,790,0,0,2,15,28.0,10,1,0
82047,SCROP82048,789,0,0,2,20,19.0,12,1,0
82048,SCROP82049,789,0,0,2,30,14.0,23,1,0
82049,SCROP82050,790,0,0,2,30,18.0,17,2,0
82050,SCROP82051,789,0,0,2,30,29.0,10,2,0
82051,SCROP82052,790,0,0,2,30,31.0,4,2,0
82052,SCROP82053,790,0,0,2,30,32.0,3,1,0
82053,SCROP82054,790,0,0,2,30,34.0,3,1,0
82054,SCROP82055,789,0,0,2,40,,18,2,0
82055,SCROP82056,789,0,0,2,40,24.0,11,1,0
82056,SCROP82057,789,0,0,2,40,26.0,10,2,0
82057,SCROP82058,790,0,0,2,40,30.0,10,1,0
82058,SCROP82059,789,0,0,2,60,,15,2,0
82059,SCROP82060,851,0,0,2,15,17.0,19,2,0
82060,SCROP82061,851,0,0,2,20,10.0,20,2,0
82061,SCROP82062,850,0,0,2,20,30.0,12,2,0
82062,SCROP82063,851,0,0,2,25,,15,3,0
82063,SCROP82064,851,0,0,2,25,22.0,4,1,0
82064,SCROP82065,851,0,0,2,30,20.0,9,2,0
82065,SCROP82066,851,0,0,2,30,22.0,13,2,0
82066,SCROP82067,851,0,0,2,30,28.0,10,2,0
82067,SCROP82068,851,0,0,2,30,36.0,2,3,0
82068,SCROP82069,851,0,0,2,30,36.0,4,2,0
82069,SCROP82070,851,0,0,2,35,24.0,16,3,0
82070,SCROP82071,851,0,0,2,40,19.0,19,2,0
82071,SCROP82072,850,0,0,2,40,39.0,1,2,0
82072,SCROP82073,851,0,0,2,40,39.0,3,2,0
82073,SCROP82074,851,0,0,2,60,,3,1,0
82074,SCROP82075,915,0,0,2,5,15.0,1,3,0
82075,SCROP82076,915,0,0,2,5,32.0,3,2,0
82076,SCROP82077,916,0,0,2,15,17.0,20,2,0
82077,SCROP82078,915,0,0,2,15,34.0,2,1,0
82078,SCROP82079,915,0,0,2,20,36.0,0,2,0
82079,SCROP82080,916,0,0,2,20,37.0,5,2,0
82080,SCROP82081,916,0,0,2,25,37.0,3,2,0
82081,SCROP82082,915,0,0,2,30,,25,1,0
82082,SCROP82083,916,0,0,2,30,20.0,20,3,0
82083,SCROP82084,915,0,0,2,30,,6,1,0
82084,SCROP82085,915,0,0,2,40,20.0,15,2,0
82085,SCROP82086,916,0,0,2,50,19.0,18,1,0
82086,SCROP82087,916,0,0,2,50,,7,2,0
82087,SCROP82088,915,0,0,2,60,,14,3,0
82088,SCROP82089,915,0,0,2,40,,5,1,0
82089,SCROP82090,915,0,0,2,20,25.0,12,2,0
82090,SCROP82091,915,0,0,2,40,36.0,4,1,0
82091,SCROP82092,984,0,0,2,10,10.0,24,2,0
82092,SCROP82093,984,0,0,2,10,14.0,21,2,0
82093,SCROP82094,984,0,0,2,10,22.0,16,2,0
82094,SCROP82095,984,0,0,2,10,26.0,14,3,0
82095,SCROP82096,984,0,0,2,15,15.0,24,1,0
82096,SCROP82097,984,0,0,2,15,31.0,16,1,0
82097,SCROP82098,984,0,0,2,20,31.0,9,1,0
82098,SCROP82099,984,0,0,2,20,34.0,5,1,0
82099,SCROP82100,984,0,0,2,25,7.0,25,1,0
82100,SCROP82101,984,0,0,2,40,,25,2,0
82101,SCROP82102,984,0,0,2,40,28.0,1,1,0
82102,SCROP82103,984,0,0,2,40,31.0,8,3,0
82103,SCROP82104,984,0,0,2,40,31.0,11,3,0
82104,SCROP82105,984,0,0,2,50,29.0,12,3,0
82105,SCROP82106,984,0,0,2,60,22.0,16,2,0
82106,SCROP82107,984,0,0,2,60,27.0,5,2,0
82107,SCROP82108,984,0,0,2,60,,5,2,0
82108,SCROP82109,984,0,0,2,40,18.0,26,3,0
82109,SCROP82110,1056,0,0,2,10,,2,2,0
82110,SCROP82111,1056,0,0,2,15,,27,2,0
82111,SCROP82112,1056,0,0,2,15,34.0,8,1,0
82112,SCROP82113,1056,0,0,2,20,8.0,26,2,0
82113,SCROP82114,1056,0,0,2,20,20.0,25,1,0
82114,SCROP82115,1056,0,0,2,20,23.0,14,3,0
82115,SCROP82116,1056,0,0,2,20,25.0,21,2,0
82116,SCROP82117,1056,0,0,2,20,26.0,13,3,0
82117,SCROP82118,1056,0,0,2,20,28.0,2,2,0
82118,SCROP82119,1056,0,0,2,25,30.0,12,2,0
82119,SCROP82120,1056,0,0,2,30,19.0,17,2,0
82120,SCROP82121,1056,0,0,2,30,,1,1,0
82121,SCROP82122,1056,0,0,2,40,28.0,9,2,0
82122,SCROP82123,1056,0,0,2,40,30.0,9,2,0
82123,SCROP82124,1056,0,0,2,40,,10,3,0
82124,SCROP82125,1056,0,0,2,50,43.0,2,2,0
82125,SCROP82126,1056,0,0,2,60,,10,1,0
82126,SCROP82127,1056,0,0,2,30,28.0,9,2,0
82127,SCROP82128,1056,0,0,2,30,32.0,5,3,0
82128,SCROP82129,1056,0,0,2,20,,15,1,0
82129,SCROP82130,1056,0,0,2,25,21.0,18,2,0
82130,SCROP82131,1132,0,0,2,20,18.0,20,2,0
82131,SCROP82132,1132,0,0,2,20,25.0,14,2,0
82132,SCROP82133,1132,0,0,2,20,25.0,15,3,0
82133,SCROP82134,1132,0,0,2,20,,18,3,0
82134,SCROP82135,1132,0,0,2,20,34.0,9,1,0
82135,SCROP82136,1132,0,0,2,25,,22,1,0
82136,SCROP82137,1132,0,0,2,25,40.0,1,1,0
82137,SCROP82138,1132,0,0,2,25,41.0,1,1,0
82138,SCROP82139,1132,0,0,2,30,35.0,6,3,0
82139,SCROP82140,1132,0,0,2,30,40.0,1,2,0
82140,SCROP82141,1132,0,0,2,40,19.0,19,1,0
82141,SCROP82142,1132,0,0,2,40,20.0,13,1,0
82142,SCROP82143,1132,0,0,2,40,34.0,7,2,0
82143,SCROP82144,1132,0,0,2,40,45.0,1,2,0
82144,SCROP82145,1132,0,0,2,50,24.0,14,2,0
82145,SCROP82146,1132,0,0,2,50,31.0,8,1,0
82146,SCROP82147,1132,0,0,2,50,34.0,12,3,0
82147,SCROP82148,1132,0,0,2,60,16.0,13,3,0
82148,SCROP82149,1132,0,0,2,60,43.0,1,2,0
82149,SCROP82150,1132,0,0,2,20,22.0,19,1,0
82150,SCROP82151,1132,0,0,2,20,16.0,26,1,0
82151,SCROP82152,1132,0,0,2,60,42.0,1,3,0
82152,SCROP82153,1212,0,0,2,10,16.0,11,1,0
82153,SCROP82154,1212,0,0,2,15,15.0,22,3,0
82154,SCROP82155,1212,0,0,2,15,20.0,22,2,0
82155,SCROP82156,1212,0,0,2,15,22.0,17,3,0
82156,SCROP82157,1212,0,0,2,20,25.0,13,1,0
82157,SCROP82158,1212,0,0,2,20,30.0,7,2,0
82158,SCROP82159,1212,0,0,2,20,35.0,3,3,0
82159,SCROP82160,1212,0,0,2,20,38.0,4,3,0
82160,SCROP82161,1212,0,0,2,20,43.0,1,1,0
82161,SCROP82162,1212,0,0,2,30,20.0,25,2,0
82162,SCROP82163,1212,0,0,2,30,33.0,10,2,0
82163,SCROP82164,1212,0,0,2,40,18.0,21,3,0
82164,SCROP82165,1212,0,0,2,40,35.0,8,2,0
82165,SCROP82166,1212,0,0,2,40,39.0,6,2,0
82166,SCROP82167,1212,0,0,2,40,43.0,0,1,0
82167,SCROP82168,1212,0,0,2,60,25.0,16,1,0
82168,SCROP82169,1212,0,0,2,60,32.0,13,1,0
82169,SCROP82170,1212,0,0,2,60,,11,3,0
82170,SCROP82171,1212,0,0,2,80,33.0,4,2,0
82171,SCROP82172,1212,0,0,2,10,30.0,2,1,0
82172,SCROP82173,1212,0,0,2,40,37.0,9,2,0
82173,SCROP82174,1296,0,0,2,10,23.0,12,1,0
82174,SCROP82175,1297,0,0,2,20,14.0,24,2,0
82175,SCROP82176,1297,0,0,2,20,15.0,6,1,0
82176,SCROP82177,1296,0,0,2,20,15.0,23,2,0
82177,SCROP82178,1296,0,0,2,20,15.0,26,2,0
82178,SCROP82179,1296,0,0,2,20,22.0,18,3,0
82179,SCROP82180,1296,0,0,2,20,,12,1,0
82180,SCROP82181,1296,0,0,2,20,36.0,1,2,0
82181,SCROP82182,1296,0,0,2,20,39.0,0,2,0
82182,SCROP82183,1297,0,0,2,20,,1,2,0
82183,SCROP82184,1297,0,0,2,25,39.0,1,2,0
82184,SCROP82185,1296,0,0,2,25,43.0,2,3,0
82185,SCROP82186,1297,0,0,2,30,10.0,25,2,0
82186,SCROP82187,1297,0,0,2,40,28.0,12,2,0
82187,SCROP82188,1296,0,0,2,40,29.0,14,2,0
82188,SCROP82189,1296,0,0,2,40,,4,2,0
82189,SCROP82190,1296,0,0,2,40,47.0,0,3,0
82190,SCROP82191,1296,0,0,2,45,29.0,1,3,0
82191,SCROP82192,1296,0,0,2,50,,27,2,0
82192,SCROP82193,1296,0,0,2,60,25.0,17,2,0
82193,SCROP82194,1297,0,0,2,10,10.0,30,1,0
82194,SCROP82195,1296,0,0,2,20,33.0,11,2,0
82195,SCROP82196,1296,0,0,2,20,20.0,19,1,0
82196,SCROP82197,1385,0,0,2,10,17.0,26,1,0
82197,SCROP82198,1385,0,0,2,15,,18,2,0
82198,SCROP82199,1385,0,0,2,15,37.0,8,3,0
82199,SCROP82200,1385,0,0,2,15,38.0,7,3,0
82200,SCROP82201,1385,0,0,2,20,11.0,31,2,0
82201,SCROP82202,1385,0,0,2,20,,23,1,0
82202,SCROP82203,1385,0,0,2,20,25.0,20,3,0
82203,SCROP82204,1385,0,0,2,20,30.0,7,2,0
82204,SCROP82205,1385,0,0,2,20,33.0,10,3,0
82205,SCROP82206,1385,0,0,2,20,34.0,1,2,0
82206,SCROP82207,1385,0,0,2,30,45.0,8,1,0
82207,SCROP82208,1385,0,0,2,40,37.0,4,3,0
82208,SCROP82209,1385,0,0,2,40,45.0,6,3,0
82209,SCROP82210,1385,0,0,2,50,,25,2,0
82210,SCROP82211,1385,0,0,2,20,41.0,6,3,0
82211,SCROP82212,1385,0,0,2,10,,12,1,0
82212,SCROP82213,1478,0,0,2,10,10.0,28,2,0
82213,SCROP82214,1478,0,0,2,10,,22,1,0
82214,SCROP82215,1478,0,0,2,10,24.0,14,2,0
82215,SCROP82216,1478,0,0,2,15,20.0,7,2,0
82216,SCROP82217,1478,0,0,2,15,34.0,10,2,0
82217,SCROP82218,1478,0,0,2,20,20.0,28,2,0
82218,SCROP82219,1478,0,0,2,20,25.0,25,2,0
82219,SCROP82220,1478,0,0,2,20,,3,1,0
82220,SCROP82221,1478,0,0,2,20,39.0,8,2,0
82221,SCROP82222,1478,0,0,2,25,45.0,4,1,0
82222,SCROP82223,1478,0,0,2,30,30.0,20,1,0
82223,SCROP82224,1478,0,0,2,30,37.0,5,3,0
82224,SCROP82225,1478,0,0,2,40,12.0,25,2,0
82225,SCROP82226,1478,0,0,2,40,16.0,22,3,0
82226,SCROP82227,1478,0,0,2,40,33.0,17,1,0
82227,SCROP82228,1478,0,0,2,40,37.0,1,3,0
82228,SCROP82229,1478,0,0,2,40,,0,2,0
82229,SCROP82230,1478,0,0,2,50,29.0,8,2,0
82230,SCROP82231,1478,0,0,2,50,46.0,7,1,0
82231,SCROP82232,1478,0,0,2,55,44.0,4,2,0
82232,SCROP82233,1478,0,0,2,60,25.0,12,2,0
82233,SCROP82234,1478,0,0,2,75,25.0,12,1,0
82234,SCROP82235,1478,0,0,2,90,37.0,13,2,0
82235,SCROP82236,1478,0,0,2,20,37.0,15,3,0
82236,SCROP82237,1478,0,0,2,20,25.0,17,2,0
82237,SCROP82238,1478,0,0,2,40,,1,3,0
82238,SCROP82239,1575,0,0,2,5,22.0,23,2,0
82239,SCROP82240,1576,0,0,2,10,6.0,33,2,0
82240,SCROP82241,1576,0,0,2,10,13.0,33,1,0
82241,SCROP82242,1576,0,0,2,10,15.0,28,2,0
82242,SCROP82243,1576,0,0,2,10,24.0,17,2,0
82243,SCROP82244,1576,0,0,2,10,27.0,15,3,0
82244,SCROP82245,1575,0,0,2,10,38.0,8,2,0
82245,SCROP82246,1576,0,0,2,15,12.0,32,1,0
82246,SCROP82247,1576,0,0,2,20,10.0,25,2,0
82247,SCROP82248,1576,0,0,2,20,18.0,25,2,0
82248,SCROP82249,1575,0,0,2,20,25.0,20,2,0
82249,SCROP82250,1575,0,0,2,20,33.0,20,2,0
82250,SCROP82251,1576,0,0,2,20,37.0,9,2,0
82251,SCROP82252,1576,0,0,2,20,38.0,13,2,0
82252,SCROP82253,1576,0,0,2,20,39.0,8,1,0
82253,SCROP82254,1576,0,0,2,20,40.0,8,2,0
82254,SCROP82255,1576,0,0,2,30,18.0,33,1,0
82255,SCROP82256,1575,0,0,2,30,30.0,16,2,0
82256,SCROP82257,1576,0,0,2,30,42.0,4,1,0
82257,SCROP82258,1576,0,0,2,40,40.0,7,2,0
82258,SCROP82259,1576,0,0,2,50,34.0,15,2,0
82259,SCROP82260,1576,0,0,2,60,38.0,13,3,0
82260,SCROP82261,1575,0,0,2,30,32.0,13,3,0
82261,SCROP82262,1576,0,0,2,30,24.0,21,3,0
82262,SCROP82263,1575,0,0,2,40,37.0,11,3,0
82263,SCROP82264,1575,0,0,2,20,41.0,6,1,0
82264,SCROP82265,1576,0,0,2,60,43.0,1,1,0
82265,SCROP82266,1678,0,0,2,5,32.0,16,1,0
82266,SCROP82267,1678,0,0,2,5,39.0,15,3,0
82267,SCROP82268,1678,0,0,2,10,18.0,26,2,0
82268,SCROP82269,1678,0,0,2,10,20.0,25,1,0
82269,SCROP82270,1678,0,0,2,10,28.0,9,3,0
82270,SCROP82271,1678,0,0,2,15,15.0,32,1,0
82271,SCROP82272,1678,0,0,2,15,42.0,5,1,0
82272,SCROP82273,1678,0,0,2,15,42.0,14,2,0
82273,SCROP82274,1678,0,0,2,20,15.0,29,2,0
82274,SCROP82275,1678,0,0,2,20,23.0,26,1,0
82275,SCROP82276,1678,0,0,2,20,28.0,22,2,0
82276,SCROP82277,1678,0,0,2,20,48.0,6,2,0
82277,SCROP82278,1678,0,0,2,30,14.0,5,2,0
82278,SCROP82279,1678,0,0,2,30,24.0,24,3,0
82279,SCROP82280,1678,0,0,2,30,35.0,1,3,0
82280,SCROP82281,1678,0,0,2,30,45.0,1,1,0
82281,SCROP82282,1678,0,0,2,40,,30,2,0
82282,SCROP82283,1678,0,0,2,40,27.0,14,3,0
82283,SCROP82284,1678,0,0,2,40,30.0,14,1,0
82284,SCROP82285,1678,0,0,2,40,40.0,14,2,0
82285,SCROP82286,1678,0,0,2,50,24.0,20,2,0
82286,SCROP82287,1678,0,0,2,60,30.0,19,2,0
82287,SCROP82288,1678,0,0,2,60,49.0,2,1,0
82288,SCROP82289,1678,0,0,2,60,51.0,1,2,0
82289,SCROP82290,1678,0,0,2,10,35.0,14,1,0
82290,SCROP82291,1678,0,0,2,20,,9,1,0
82291,SCROP82292,1678,0,0,2,40,30.0,9,1,0
82292,SCROP82293,1678,0,0,2,15,51.0,1,2,0
82293,SCROP82294,1785,0,0,2,5,30.0,5,1,0
82294,SCROP82295,1785,0,0,2,10,24.0,15,2,0
82295,SCROP82296,1786,0,0,2,15,29.0,18,1,0
82296,SCROP82297,1785,0,0,2,20,7.0,31,2,0
82297,SCROP82298,1785,0,0,2,20,18.0,30,2,0
82298,SCROP82299,1786,0,0,2,20,,23,2,0
82299,SCROP82300,1785,0,0,2,20,20.0,33,3,0
82300,SCROP82301,1785,0,0,2,20,23.0,25,2,0
82301,SCROP82302,1785,0,0,2,20,25.0,24,2,0
82302,SCROP82303,1785,0,0,2,20,33.0,12,3,0
82303,SCROP82304,1785,0,0,2,20,40.0,9,1,0
82304,SCROP82305,1785,0,0,2,25,13.0,27,2,0
82305,SCROP82306,1785,0,0,2,25,28.0,25,3,0
82306,SCROP82307,1786,0,0,2,25,40.0,2,1,0
82307,SCROP82308,1786,0,0,2,30,15.0,30,2,0
82308,SCROP82309,1785,0,0,2,30,27.0,20,1,0
82309,SCROP82310,1785,0,0,2,30,33.0,16,1,0
82310,SCROP82311,1786,0,0,2,30,36.0,15,3,0
82311,SCROP82312,1785,0,0,2,30,37.0,11,1,0
82312,SCROP82313,1785,0,0,2,30,42.0,11,1,0
82313,SCROP82314,1785,0,0,2,40,20.0,23,3,0
82314,SCROP82315,1785,0,0,2,40,35.0,11,2,0
82315,SCROP82316,1785,0,0,2,40,36.0,3,2,0
82316,SCROP82317,1785,0,0,2,40,45.0,4,2,0
82317,SCROP82318,1785,0,0,2,60,15.0,32,3,0
82318,SCROP82319,1785,0,0,2,60,33.0,20,2,0
82319,SCROP82320,1785,0,0,2,20,32.0,15,2,0
82320,SCROP82321,1785,0,0,2,20,41.0,6,2,0
82321,SCROP82322,1786,0,0,2,40,30.0,15,3,0
82322,SCROP82323,1785,0,0,2,30,,16,2,0
82323,SCROP82324,1786,0,0,2,50,40.0,9,3,0
82324,SCROP82325,1786,0,0,2,20,29.0,15,1,0
82325,SCROP82326,1785,0,0,2,20,33.0,13,1,0
82326,SCROP82327,1786,0,0,2,30,50.0,5,1,0
82327,SCROP82328,1898,0,0,2,5,41.0,9,1,0
82328,SCROP82329,1898,0,0,2,10,53.0,1,2,0
82329,SCROP82330,1898,0,0,2,15,46.0,2,1,0
82330,SCROP82331,1898,0,0,2,20,32.0,17,2,0
82331,SCROP82332,1898,0,0,2,20,33.0,8,3,0
82332,SCROP82333,1898,0,0,2,20,41.0,3,2,0
82333,SCROP82334,1898,0,0,2,20,43.0,2,2,0
82334,SCROP82335,1898,0,0,2,20,48.0,0,2,0
82335,SCROP82336,1898,0,0,2,20,48.0,1,2,0
82336,SCROP82337,1898,0,0,2,30,33.0,14,1,0
82337,SCROP82338,1898,0,0,2,30,52.0,3,2,0
82338,SCROP82339,1898,0,0,2,40,20.0,28,3,0
82339,SCROP82340,1898,0,0,2,40,26.0,24,1,0
82340,SCROP82341,1898,0,0,2,40,45.0,5,2,0
82341,SCROP82342,1898,0,0,2,45,35.0,8,1,0
82342,SCROP82343,1898,0,0,2,60,34.0,22,2,0
82343,SCROP82344,1898,0,0,2,60,38.0,13,2,0
82344,SCROP82345,1898,0,0,2,30,45.0,3,3,0
82345,SCROP82346,1898,0,0,2,40,44.0,2,2,0
82346,SCROP82347,2015,0,0,2,5,20.0,33,3,0
82347,SCROP82348,2015,0,0,2,5,28.0,25,1,0
82348,SCROP82349,2015,0,0,2,5,35.0,17,2,0
82349,SCROP82350,2016,0,0,2,10,16.0,30,1,0
82350,SCROP82351,2016,0,0,2,10,30.0,3,1,0
82351,SCROP82352,2015,0,0,2,10,31.0,20,1,0
82352,SCROP82353,2015,0,0,2,15,14.0,34,1,0
82353,SCROP82354,2015,0,0,2,20,22.0,29,2,0
82354,SCROP82355,2015,0,0,2,20,30.0,27,3,0
82355,SCROP82356,2016,0,0,2,20,,2,2,0
82356,SCROP82357,2016,0,0,2,20,36.0,12,3,0
82357,SCROP82358,2016,0,0,2,20,42.0,11,2,0
82358,SCROP82359,2016,0,0,2,20,43.0,5,2,0
82359,SCROP82360,2016,0,0,2,20,45.0,2,1,0
82360,SCROP82361,2015,0,0,2,20,,12,2,0
82361,SCROP82362,2015,0,0,2,25,22.0,30,1,0
82362,SCROP82363,2015,0,0,2,25,45.0,7,1,0
82363,SCROP82364,2015,0,0,2,30,12.0,37,1,0
82364,SCROP82365,2015,0,0,2,30,18.0,27,2,0
82365,SCROP82366,2015,0,0,2,30,35.0,17,2,0
82366,SCROP82367,2015,0,0,2,30,48.0,2,2,0
82367,SCROP82368,2016,0,0,2,40,20.0,27,2,0
82368,SCROP82369,2015,0,0,2,40,24.0,10,1,0
82369,SCROP82370,2015,0,0,2,40,,15,3,0
82370,SCROP82371,2015,0,0,2,40,32.0,19,2,0
82371,SCROP82372,2015,0,0,2,40,45.0,2,3,0
82372,SCROP82373,2016,0,0,2,50,30.0,23,1,0
82373,SCROP82374,2015,0,0,2,50,35.0,17,3,0
82374,SCROP82375,2015,0,0,2,60,40.0,7,2,0
82375,SCROP82376,2016,0,0,2,60,40.0,9,1,0
82376,SCROP82377,2016,0,0,2,40,33.0,5,2,0
82377,SCROP82378,2138,0,0,2,40,20.0,28,2,0
82378,SCROP82379,2139,0,0,2,5,,3,1,0
82379,SCROP82380,2138,0,0,2,10,18.0,32,2,0
82380,SCROP82381,2138,0,0,2,10,,20,2,0
82381,SCROP82382,2139,0,0,2,10,29.0,21,2,0
82382,SCROP82383,2138,0,0,2,10,34.0,18,1,0
82383,SCROP82384,2139,0,0,2,10,37.0,10,2,0
82384,SCROP82385,2138,0,0,2,10,38.0,10,1,0
82385,SCROP82386,2138,0,0,2,10,47.0,6,1,0
82386,SCROP82387,2139,0,0,2,15,17.0,32,1,0
82387,SCROP82388,2139,0,0,2,15,25.0,24,1,0
82388,SCROP82389,2138,0,0,2,15,33.0,5,3,0
82389,SCROP82390,2139,0,0,2,15,34.0,18,2,0
82390,SCROP82391,2139,0,0,2,20,22.0,28,3,0
82391,SCROP82392,2138,0,0,2,20,40.0,10,2,0
82392,SCROP82393,2138,0,0,2,25,40.0,14,2,0
82393,SCROP82394,2139,0,0,2,30,38.0,13,2,0
82394,SCROP82395,2138,0,0,2,40,34.0,18,1,0
82395,SCROP82396,2139,0,0,2,40,45.0,8,3,0
82396,SCROP82397,2138,0,0,2,40,46.0,5,2,0
82397,SCROP82398,2139,0,0,2,50,22.0,28,2,0
