,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada
82563,SCROP82564,283,0,1,2,25,17.0,6,3
82564,SCROP82565,283,0,1,2,25,,3,3
82565,SCROP82566,283,0,1,2,60,,4,2
82566,SCROP82567,312,0,1,2,5,18.0,2,2
82567,SCROP82568,311,0,1,2,25,13.0,10,3
82568,SCROP82569,312,0,1,2,25,14.0,7,2
82569,SCROP82570,312,0,1,2,30,25.0,4,3
82570,SCROP82571,312,0,1,2,60,16.0,4,2
82571,SCROP82572,342,0,1,2,10,10.0,8,3
82572,SCROP82573,342,0,1,2,15,10.0,13,1
82573,SCROP82574,342,0,1,2,30,10.0,13,2
82574,SCROP82575,342,0,1,2,30,21.0,4,2
82575,SCROP82576,375,0,1,2,10,14.0,13,2
82576,SCROP82577,375,0,1,2,20,15.0,2,2
82577,SCROP82578,375,0,1,2,25,22.0,1,2
82578,SCROP82579,375,0,1,2,30,,2,1
82579,SCROP82580,375,0,1,2,35,,8,1
82580,SCROP82581,375,0,1,2,40,15.0,14,2
82581,SCROP82582,375,0,1,2,45,22.0,9,2
82582,SCROP82583,410,0,1,2,5,22.0,10,2
82583,SCROP82584,411,0,1,2,10,13.0,9,1
82584,SCROP82585,411,0,1,2,10,,0,1
82585,SCROP82586,410,0,1,2,15,19.0,6,3
82586,SCROP82587,411,0,1,2,20,,12,2
82587,SCROP82588,410,0,1,2,20,13.0,5,2
82588,SCROP82589,410,0,1,2,20,16.0,12,2
82589,SCROP82590,411,0,1,2,25,16.0,13,3
82590,SCROP82591,411,0,1,2,30,,5,2
82591,SCROP82592,411,0,1,2,30,27.0,0,1
82592,SCROP82593,410,0,1,2,40,,15,3
82593,SCROP82594,410,0,1,2,40,13.0,14,2
82594,SCROP82595,410,0,1,2,40,23.0,4,2
82595,SCROP82596,410,0,1,2,45,16.0,12,2
82596,SCROP82597,410,0,1,2,50,23.0,7,1
82597,SCROP82598,410,0,1,2,50,25.0,5,1
82598,SCROP82599,448,0,1,2,10,15.0,11,2
82599,SCROP82600,448,0,1,2,10,20.0,5,2
82600,SCROP82601,448,0,1,2,15,6.0,1,1
82601,SCROP82602,448,0,1,2,15,12.0,15,2
82602,SCROP82603,448,0,1,2,20,8.0,15,2
82603,SCROP82604,448,0,1,2,20,11.0,13,2
82604,SCROP82605,448,0,1,2,20,13.0,15,2
82605,SCROP82606,448,0,1,2,20,14.0,10,2
82606,SCROP82607,448,0,1,2,20,17.0,16,2
82607,SCROP82608,448,0,1,2,20,18.0,16,2
82608,SCROP82609,448,0,1,2,20,20.0,5,2
82609,SCROP82610,448,0,1,2,20,29.0,5,2
82610,SCROP82611,448,0,1,2,30,16.0,5,3
82611,SCROP82612,448,0,1,2,30,27.0,1,1
82612,SCROP82613,448,0,1,2,40,10.0,11,1
82613,SCROP82614,448,0,1,2,40,20.0,0,1
82614,SCROP82615,448,0,1,2,40,27.0,0,1
82615,SCROP82616,448,0,1,2,40,,4,1
82616,SCROP82617,488,0,1,2,5,,10,2
82617,SCROP82618,488,0,1,2,5,17.0,9,1
82618,SCROP82619,488,0,1,2,10,11.0,15,1
82619,SCROP82620,488,0,1,2,10,16.0,17,3
82620,SCROP82621,488,0,1,2,15,13.0,7,3
82621,SCROP82622,488,0,1,2,20,7.0,15,2
82622,SCROP82623,488,0,1,2,20,14.0,11,3
82623,SCROP82624,488,0,1,2,20,18.0,13,1
82624,SCROP82625,488,0,1,2,20,30.0,9,3
82625,SCROP82626,488,0,1,2,25,14.0,15,3
82626,SCROP82627,489,0,1,2,25,,11,2
82627,SCROP82628,488,0,1,2,25,30.0,1,2
82628,SCROP82629,488,0,1,2,30,10.0,6,1
82629,SCROP82630,489,0,1,2,30,,13,2
82630,SCROP82631,488,0,1,2,30,25.0,12,1
82631,SCROP82632,489,0,1,2,30,27.0,1,2
82632,SCROP82633,488,0,1,2,40,16.0,16,1
82633,SCROP82634,488,0,1,2,40,26.0,2,3
82634,SCROP82635,488,0,1,2,50,27.0,3,2
82635,SCROP82636,531,0,1,2,5,10.0,18,2
82636,SCROP82637,531,0,1,2,5,15.0,9,1
82637,SCROP82638,531,0,1,2,10,7.0,6,3
82638,SCROP82639,531,0,1,2,10,8.0,14,1
82639,SCROP82640,531,0,1,2,20,8.0,13,2
82640,SCROP82641,531,0,1,2,20,14.0,8,2
82641,SCROP82642,531,0,1,2,20,15.0,15,1
82642,SCROP82643,531,0,1,2,20,21.0,6,3
82643,SCROP82644,531,0,1,2,20,23.0,2,2
82644,SCROP82645,531,0,1,2,20,24.0,5,1
82645,SCROP82646,531,0,1,2,25,11.0,16,3
82646,SCROP82647,531,0,1,2,25,14.0,14,3
82647,SCROP82648,531,0,1,2,30,,16,3
82648,SCROP82649,531,0,1,2,30,19.0,10,2
82649,SCROP82650,531,0,1,2,30,,6,2
82650,SCROP82651,531,0,1,2,40,10.0,17,2
82651,SCROP82652,531,0,1,2,40,16.0,13,2
82652,SCROP82653,531,0,1,2,40,19.0,8,1
82653,SCROP82654,531,0,1,2,40,30.0,4,1
82654,SCROP82655,531,0,1,2,40,30.0,7,2
82655,SCROP82656,531,0,1,2,40,32.0,3,2
82656,SCROP82657,531,0,1,2,45,19.0,6,2
82657,SCROP82658,531,0,1,2,10,,10,1
82658,SCROP82659,531,0,1,2,30,24.0,1,1
82659,SCROP82660,577,0,1,2,5,25.0,15,1
82660,SCROP82661,577,0,1,2,10,10.0,19,2
82661,SCROP82662,577,0,1,2,10,14.0,15,1
82662,SCROP82663,577,0,1,2,10,14.0,19,1
82663,SCROP82664,577,0,1,2,10,28.0,6,1
82664,SCROP82665,577,0,1,2,15,12.0,19,2
82665,SCROP82666,577,0,1,2,20,16.0,0,2
82666,SCROP82667,577,0,1,2,20,25.0,9,2
82667,SCROP82668,577,0,1,2,20,26.0,2,2
82668,SCROP82669,577,0,1,2,20,32.0,3,3
82669,SCROP82670,577,0,1,2,25,20.0,6,1
82670,SCROP82671,577,0,1,2,30,10.0,10,2
82671,SCROP82672,577,0,1,2,30,30.0,0,3
82672,SCROP82673,577,0,1,2,30,37.0,2,3
82673,SCROP82674,577,0,1,2,40,15.0,4,1
82674,SCROP82675,577,0,1,2,40,,19,3
82675,SCROP82676,577,0,1,2,40,24.0,9,1
82676,SCROP82677,577,0,1,2,40,26.0,5,1
82677,SCROP82678,577,0,1,2,40,38.0,1,2
82678,SCROP82679,577,0,1,2,50,21.0,9,1
82679,SCROP82680,577,0,1,2,50,24.0,9,2
82680,SCROP82681,577,0,1,2,60,18.0,18,2
82681,SCROP82682,625,0,1,2,10,12.0,19,1
82682,SCROP82683,625,0,1,2,10,15.0,12,3
82683,SCROP82684,626,0,1,2,10,26.0,5,1
82684,SCROP82685,626,0,1,2,15,14.0,0,2
82685,SCROP82686,626,0,1,2,15,23.0,9,2
82686,SCROP82687,626,0,1,2,20,13.0,5,2
82687,SCROP82688,626,0,1,2,20,14.0,4,2
82688,SCROP82689,625,0,1,2,20,25.0,4,2
82689,SCROP82690,625,0,1,2,20,30.0,7,2
82690,SCROP82691,626,0,1,2,25,11.0,14,1
82691,SCROP82692,626,0,1,2,25,15.0,10,2
82692,SCROP82693,625,0,1,2,30,20.0,7,2
82693,SCROP82694,625,0,1,2,30,22.0,13,2
82694,SCROP82695,625,0,1,2,30,,8,3
82695,SCROP82696,625,0,1,2,30,28.0,3,3
82696,SCROP82697,625,0,1,2,30,28.0,5,1
82697,SCROP82698,625,0,1,2,40,24.0,5,3
82698,SCROP82699,625,0,1,2,40,25.0,12,1
82699,SCROP82700,625,0,1,2,45,24.0,7,2
82700,SCROP82701,626,0,1,2,45,25.0,13,1
82701,SCROP82702,625,0,1,2,50,30.0,0,2
82702,SCROP82703,625,0,1,2,60,25.0,12,1
82703,SCROP82704,625,0,1,2,65,18.0,14,2
82704,SCROP82705,625,0,1,2,70,34.0,2,3
82705,SCROP82706,626,0,1,2,95,23.0,6,2
82706,SCROP82707,625,0,1,2,5,10.0,19,1
82707,SCROP82708,677,0,1,2,5,13.0,18,1
82708,SCROP82709,677,0,1,2,5,14.0,16,2
82709,SCROP82710,677,0,1,2,10,10.0,17,2
82710,SCROP82711,677,0,1,2,10,24.0,7,3
82711,SCROP82712,677,0,1,2,15,,8,2
82712,SCROP82713,677,0,1,2,20,8.0,21,3
82713,SCROP82714,677,0,1,2,20,26.0,8,3
82714,SCROP82715,677,0,1,2,20,30.0,7,1
82715,SCROP82716,677,0,1,2,25,7.0,19,1
82716,SCROP82717,677,0,1,2,25,18.0,14,1
82717,SCROP82718,677,0,1,2,30,8.0,4,2
82718,SCROP82719,677,0,1,2,30,12.0,17,2
82719,SCROP82720,677,0,1,2,30,14.0,21,1
82720,SCROP82721,677,0,1,2,30,16.0,21,2
82721,SCROP82722,677,0,1,2,30,24.0,10,2
82722,SCROP82723,677,0,1,2,30,32.0,5,2
82723,SCROP82724,677,0,1,2,30,34.0,7,1
82724,SCROP82725,677,0,1,2,35,24.0,11,1
82725,SCROP82726,677,0,1,2,40,,7,2
82726,SCROP82727,677,0,1,2,40,21.0,12,3
82727,SCROP82728,677,0,1,2,50,,20,2
82728,SCROP82729,677,0,1,2,60,15.0,18,2
82729,SCROP82730,677,0,1,2,60,29.0,2,3
82730,SCROP82731,677,0,1,2,70,21.0,15,1
82731,SCROP82732,731,0,1,2,5,22.0,14,2
82732,SCROP82733,732,0,1,2,10,19.0,17,3
82733,SCROP82734,732,0,1,2,10,30.0,5,1
82734,SCROP82735,732,0,1,2,15,14.0,18,2
82735,SCROP82736,732,0,1,2,20,10.0,0,3
82736,SCROP82737,731,0,1,2,20,10.0,20,2
82737,SCROP82738,731,0,1,2,20,39.0,1,2
82738,SCROP82739,732,0,1,2,25,20.0,13,1
82739,SCROP82740,732,0,1,2,25,34.0,4,1
82740,SCROP82741,732,0,1,2,30,26.0,10,2
82741,SCROP82742,732,0,1,2,30,27.0,10,2
82742,SCROP82743,731,0,1,2,30,34.0,1,2
82743,SCROP82744,731,0,1,2,30,,1,2
82744,SCROP82745,732,0,1,2,35,20.0,16,2
82745,SCROP82746,731,0,1,2,35,28.0,9,2
82746,SCROP82747,732,0,1,2,40,23.0,10,3
82747,SCROP82748,732,0,1,2,40,,3,2
82748,SCROP82749,731,0,1,2,45,14.0,22,2
82749,SCROP82750,732,0,1,2,45,27.0,9,2
82750,SCROP82751,731,0,1,2,45,31.0,6,2
82751,SCROP82752,732,0,1,2,60,19.0,12,2
82752,SCROP82753,731,0,1,2,60,34.0,4,1
82753,SCROP82754,731,0,1,2,20,26.0,12,2
82754,SCROP82755,731,0,1,2,10,20.0,12,2
82755,SCROP82756,790,0,1,2,5,25.0,0,2
82756,SCROP82757,789,0,1,2,10,8.0,1,3
82757,SCROP82758,789,0,1,2,10,11.0,23,2
82758,SCROP82759,790,0,1,2,10,,15,2
82759,SCROP82760,789,0,1,2,10,21.0,15,1
82760,SCROP82761,789,0,1,2,10,31.0,3,3
82761,SCROP82762,789,0,1,2,15,19.0,13,1
82762,SCROP82763,789,0,1,2,15,28.0,5,1
82763,SCROP82764,789,0,1,2,20,,14,1
82764,SCROP82765,789,0,1,2,20,14.0,20,1
82765,SCROP82766,789,0,1,2,20,15.0,18,2
82766,SCROP82767,789,0,1,2,20,24.0,5,2
82767,SCROP82768,789,0,1,2,20,25.0,15,2
82768,SCROP82769,790,0,1,2,30,32.0,4,2
82769,SCROP82770,789,0,1,2,40,10.0,19,1
82770,SCROP82771,790,0,1,2,40,10.0,23,1
82771,SCROP82772,789,0,1,2,40,16.0,18,2
82772,SCROP82773,790,0,1,2,40,28.0,2,1
82773,SCROP82774,789,0,1,2,50,29.0,10,2
82774,SCROP82775,790,0,1,2,60,24.0,17,1
82775,SCROP82776,851,0,1,2,10,,20,2
82776,SCROP82777,851,0,1,2,10,15.0,24,2
82777,SCROP82778,850,0,1,2,10,18.0,14,2
82778,SCROP82779,851,0,1,2,15,16.0,19,2
82779,SCROP82780,851,0,1,2,15,34.0,4,2
82780,SCROP82781,851,0,1,2,15,35.0,6,3
82781,SCROP82782,851,0,1,2,15,36.0,8,1
82782,SCROP82783,851,0,1,2,20,10.0,5,2
82783,SCROP82784,851,0,1,2,20,18.0,19,2
82784,SCROP82785,851,0,1,2,20,20.0,21,2
82785,SCROP82786,850,0,1,2,20,,2,1
82786,SCROP82787,851,0,1,2,25,16.0,22,2
82787,SCROP82788,851,0,1,2,30,14.0,12,2
82788,SCROP82789,851,0,1,2,40,13.0,6,1
82789,SCROP82790,851,0,1,2,40,15.0,6,1
82790,SCROP82791,851,0,1,2,40,22.0,11,2
82791,SCROP82792,851,0,1,2,40,,15,2
82792,SCROP82793,851,0,1,2,40,,0,1
82793,SCROP82794,851,0,1,2,40,,5,2
82794,SCROP82795,851,0,1,2,40,37.0,5,3
82795,SCROP82796,851,0,1,2,50,15.0,23,1
82796,SCROP82797,850,0,1,2,50,,20,2
82797,SCROP82798,851,0,1,2,50,21.0,14,1
82798,SCROP82799,851,0,1,2,50,30.0,2,2
82799,SCROP82800,851,0,1,2,60,16.0,22,2
82800,SCROP82801,851,0,1,2,60,22.0,5,1
82801,SCROP82802,851,0,1,2,40,29.0,8,1
82802,SCROP82803,915,0,1,2,10,21.0,18,2
82803,SCROP82804,916,0,1,2,10,27.0,12,1
82804,SCROP82805,915,0,1,2,10,31.0,5,2
82805,SCROP82806,915,0,1,2,10,32.0,6,2
82806,SCROP82807,916,0,1,2,20,14.0,1,2
82807,SCROP82808,915,0,1,2,20,,21,2
82808,SCROP82809,915,0,1,2,20,19.0,0,1
82809,SCROP82810,916,0,1,2,20,23.0,8,2
82810,SCROP82811,916,0,1,2,25,24.0,10,2
82811,SCROP82812,916,0,1,2,30,17.0,5,1
82812,SCROP82813,915,0,1,2,30,21.0,14,3
82813,SCROP82814,916,0,1,2,30,21.0,18,2
82814,SCROP82815,915,0,1,2,30,27.0,4,1
82815,SCROP82816,916,0,1,2,30,31.0,3,2
82816,SCROP82817,915,0,1,2,30,32.0,6,2
82817,SCROP82818,915,0,1,2,30,,1,2
82818,SCROP82819,916,0,1,2,35,,17,2
82819,SCROP82820,915,0,1,2,40,12.0,22,1
82820,SCROP82821,915,0,1,2,40,21.0,16,2
82821,SCROP82822,916,0,1,2,40,40.0,2,2
82822,SCROP82823,915,0,1,2,60,22.0,15,1
82823,SCROP82824,916,0,1,2,60,27.0,11,2
82824,SCROP82825,915,0,1,2,80,39.0,0,1
82825,SCROP82826,915,0,1,2,85,40.0,1,2
82826,SCROP82827,915,0,1,2,30,36.0,3,2
82827,SCROP82828,916,0,1,2,40,15.0,23,2
82828,SCROP82829,916,0,1,2,15,13.0,25,3
82829,SCROP82830,915,0,1,2,20,15.0,24,2
82830,SCROP82831,915,0,1,2,40,42.0,0,3
82831,SCROP82832,984,0,1,2,5,16.0,21,3
82832,SCROP82833,984,0,1,2,5,28.0,10,1
82833,SCROP82834,984,0,1,2,10,,21,2
82834,SCROP82835,984,0,1,2,10,18.0,20,3
82835,SCROP82836,984,0,1,2,10,35.0,6,2
82836,SCROP82837,984,0,1,2,15,22.0,13,1
82837,SCROP82838,984,0,1,2,15,,7,2
82838,SCROP82839,984,0,1,2,20,10.0,6,2
82839,SCROP82840,984,0,1,2,20,16.0,3,3
82840,SCROP82841,984,0,1,2,20,20.0,2,2
82841,SCROP82842,984,0,1,2,20,20.0,26,2
82842,SCROP82843,984,0,1,2,20,,16,2
82843,SCROP82844,984,0,1,2,20,31.0,6,2
82844,SCROP82845,984,0,1,2,25,16.0,24,1
82845,SCROP82846,984,0,1,2,25,37.0,0,1
82846,SCROP82847,984,0,1,2,30,10.0,12,2
82847,SCROP82848,984,0,1,2,30,23.0,13,3
82848,SCROP82849,984,0,1,2,30,23.0,15,2
82849,SCROP82850,984,0,1,2,30,33.0,12,1
82850,SCROP82851,984,0,1,2,30,35.0,2,1
82851,SCROP82852,984,0,1,2,30,36.0,10,2
82852,SCROP82853,984,0,1,2,35,,13,1
82853,SCROP82854,984,0,1,2,40,15.0,17,2
82854,SCROP82855,984,0,1,2,40,21.0,15,1
82855,SCROP82856,984,0,1,2,40,24.0,14,2
82856,SCROP82857,984,0,1,2,40,25.0,11,2
82857,SCROP82858,984,0,1,2,40,32.0,6,2
82858,SCROP82859,984,0,1,2,50,11.0,17,3
82859,SCROP82860,984,0,1,2,60,14.0,24,1
82860,SCROP82861,984,0,1,2,60,27.0,11,1
82861,SCROP82862,984,0,1,2,70,34.0,10,1
82862,SCROP82863,984,0,1,2,45,,11,1
82863,SCROP82864,984,0,1,2,20,28.0,9,3
82864,SCROP82865,1056,0,1,2,5,31.0,10,1
82865,SCROP82866,1056,0,1,2,10,15.0,24,2
82866,SCROP82867,1056,0,1,2,15,21.0,17,3
82867,SCROP82868,1056,0,1,2,15,30.0,7,3
82868,SCROP82869,1056,0,1,2,15,37.0,10,2
82869,SCROP82870,1056,0,1,2,20,6.0,24,3
82870,SCROP82871,1056,0,1,2,20,,21,2
82871,SCROP82872,1056,0,1,2,20,17.0,24,2
82872,SCROP82873,1056,0,1,2,20,,22,2
82873,SCROP82874,1056,0,1,2,20,19.0,21,1
82874,SCROP82875,1056,0,1,2,20,36.0,0,2
82875,SCROP82876,1056,0,1,2,20,46.0,0,2
82876,SCROP82877,1056,0,1,2,25,17.0,20,1
82877,SCROP82878,1056,0,1,2,25,20.0,18,2
82878,SCROP82879,1056,0,1,2,25,20.0,27,1
82879,SCROP82880,1056,0,1,2,25,38.0,3,2
82880,SCROP82881,1056,0,1,2,30,18.0,22,1
82881,SCROP82882,1056,0,1,2,30,19.0,19,2
82882,SCROP82883,1056,0,1,2,30,22.0,18,1
82883,SCROP82884,1056,0,1,2,30,25.0,17,2
82884,SCROP82885,1056,0,1,2,30,,3,2
82885,SCROP82886,1056,0,1,2,35,15.0,15,2
82886,SCROP82887,1056,0,1,2,40,30.0,10,1
82887,SCROP82888,1056,0,1,2,45,18.0,15,3
82888,SCROP82889,1056,0,1,2,50,18.0,22,1
82889,SCROP82890,1056,0,1,2,50,29.0,5,2
82890,SCROP82891,1056,0,1,2,50,37.0,6,2
82891,SCROP82892,1056,0,1,2,60,26.0,17,1
82892,SCROP82893,1056,0,1,2,60,32.0,12,2
82893,SCROP82894,1056,0,1,2,15,15.0,17,3
82894,SCROP82895,1056,0,1,2,30,31.0,1,1
82895,SCROP82896,1132,0,1,2,5,,9,3
82896,SCROP82897,1132,0,1,2,10,29.0,10,1
82897,SCROP82898,1132,0,1,2,15,16.0,24,1
82898,SCROP82899,1132,0,1,2,15,30.0,16,2
82899,SCROP82900,1132,0,1,2,20,10.0,27,2
82900,SCROP82901,1132,0,1,2,20,14.0,18,2
82901,SCROP82902,1132,0,1,2,20,,12,1
82902,SCROP82903,1132,0,1,2,20,27.0,14,3
82903,SCROP82904,1132,0,1,2,25,22.0,15,2
82904,SCROP82905,1132,0,1,2,25,25.0,18,2
82905,SCROP82906,1132,0,1,2,30,18.0,26,3
82906,SCROP82907,1132,0,1,2,30,23.0,8,1
82907,SCROP82908,1132,0,1,2,30,,12,2
82908,SCROP82909,1132,0,1,2,35,22.0,18,2
82909,SCROP82910,1132,0,1,2,35,31.0,10,3
82910,SCROP82911,1132,0,1,2,40,16.0,24,2
82911,SCROP82912,1132,0,1,2,40,20.0,22,2
82912,SCROP82913,1132,0,1,2,40,31.0,7,3
82913,SCROP82914,1132,0,1,2,40,35.0,3,3
82914,SCROP82915,1132,0,1,2,40,36.0,13,3
82915,SCROP82916,1132,0,1,2,40,38.0,2,2
82916,SCROP82917,1132,0,1,2,50,24.0,18,3
82917,SCROP82918,1132,0,1,2,50,25.0,18,2
82918,SCROP82919,1132,0,1,2,50,,15,2
82919,SCROP82920,1132,0,1,2,50,32.0,13,2
82920,SCROP82921,1132,0,1,2,50,37.0,2,2
82921,SCROP82922,1132,0,1,2,50,,6,1
82922,SCROP82923,1132,0,1,2,60,28.0,13,2
82923,SCROP82924,1132,0,1,2,60,40.0,6,1
82924,SCROP82925,1132,0,1,2,40,29.0,10,2
82925,SCROP82926,1132,0,1,2,15,10.0,16,2
82926,SCROP82927,1132,0,1,2,45,23.0,14,3
82927,SCROP82928,1212,0,1,2,5,15.0,19,2
82928,SCROP82929,1212,0,1,2,5,25.0,5,2
82929,SCROP82930,1212,0,1,2,10,,19,2
82930,SCROP82931,1212,0,1,2,10,20.0,10,2
82931,SCROP82932,1212,0,1,2,10,,19,2
82932,SCROP82933,1212,0,1,2,10,24.0,27,2
82933,SCROP82934,1212,0,1,2,10,28.0,10,2
82934,SCROP82935,1212,0,1,2,15,27.0,19,1
82935,SCROP82936,1212,0,1,2,20,23.0,15,3
82936,SCROP82937,1212,0,1,2,20,27.0,12,2
82937,SCROP82938,1212,0,1,2,20,34.0,7,2
82938,SCROP82939,1212,0,1,2,20,39.0,5,3
82939,SCROP82940,1212,0,1,2,25,16.0,26,1
82940,SCROP82941,1212,0,1,2,25,25.0,17,2
82941,SCROP82942,1212,0,1,2,30,,27,2
82942,SCROP82943,1212,0,1,2,30,13.0,27,2
82943,SCROP82944,1212,0,1,2,30,21.0,22,3
82944,SCROP82945,1212,0,1,2,30,33.0,6,2
82945,SCROP82946,1212,0,1,2,30,33.0,10,2
82946,SCROP82947,1212,0,1,2,35,33.0,9,1
82947,SCROP82948,1212,0,1,2,40,,20,1
82948,SCROP82949,1212,0,1,2,40,,15,2
82949,SCROP82950,1212,0,1,2,40,23.0,20,2
82950,SCROP82951,1212,0,1,2,40,31.0,9,2
82951,SCROP82952,1212,0,1,2,40,38.0,4,2
82952,SCROP82953,1212,0,1,2,50,39.0,3,3
82953,SCROP82954,1212,0,1,2,60,28.0,14,1
82954,SCROP82955,1212,0,1,2,60,28.0,20,2
82955,SCROP82956,1212,0,1,2,30,19.0,20,1
82956,SCROP82957,1212,0,1,2,30,17.0,22,2
82957,SCROP82958,1296,0,1,2,5,,30,3
82958,SCROP82959,1296,0,1,2,10,7.0,29,1
82959,SCROP82960,1296,0,1,2,10,11.0,29,2
82960,SCROP82961,1296,0,1,2,10,12.0,30,2
82961,SCROP82962,1297,0,1,2,10,23.0,18,2
82962,SCROP82963,1296,0,1,2,10,25.0,25,1
82963,SCROP82964,1296,0,1,2,10,,15,3
82964,SCROP82965,1296,0,1,2,15,24.0,19,2
82965,SCROP82966,1296,0,1,2,15,42.0,1,2
82966,SCROP82967,1296,0,1,2,20,15.0,16,2
82967,SCROP82968,1297,0,1,2,20,30.0,10,2
82968,SCROP82969,1297,0,1,2,20,42.0,4,3
82969,SCROP82970,1296,0,1,2,25,17.0,25,1
82970,SCROP82971,1296,0,1,2,25,27.0,10,3
82971,SCROP82972,1296,0,1,2,25,42.0,4,3
82972,SCROP82973,1297,0,1,2,30,12.0,20,1
82973,SCROP82974,1296,0,1,2,30,20.0,1,2
82974,SCROP82975,1296,0,1,2,30,22.0,15,1
82975,SCROP82976,1296,0,1,2,30,24.0,20,1
82976,SCROP82977,1296,0,1,2,30,27.0,12,2
82977,SCROP82978,1297,0,1,2,30,30.0,8,1
82978,SCROP82979,1296,0,1,2,35,29.0,15,2
82979,SCROP82980,1296,0,1,2,40,15.0,25,2
82980,SCROP82981,1297,0,1,2,40,19.0,25,1
82981,SCROP82982,1296,0,1,2,40,24.0,12,2
82982,SCROP82983,1296,0,1,2,40,26.0,14,1
82983,SCROP82984,1296,0,1,2,40,31.0,3,3
82984,SCROP82985,1296,0,1,2,40,37.0,13,3
82985,SCROP82986,1296,0,1,2,40,41.0,3,1
82986,SCROP82987,1297,0,1,2,50,21.0,18,3
82987,SCROP82988,1296,0,1,2,50,31.0,8,2
82988,SCROP82989,1297,0,1,2,50,34.0,12,2
82989,SCROP82990,1296,0,1,2,55,35.0,4,2
82990,SCROP82991,1297,0,1,2,60,,14,1
82991,SCROP82992,1296,0,1,2,20,,23,3
82992,SCROP82993,1296,0,1,2,40,17.0,21,2
82993,SCROP82994,1385,0,1,2,15,17.0,23,2
82994,SCROP82995,1385,0,1,2,25,28.0,13,2
82995,SCROP82996,1385,0,1,2,10,6.0,13,3
82996,SCROP82997,1385,0,1,2,10,,30,1
82997,SCROP82998,1385,0,1,2,10,11.0,30,2
82998,SCROP82999,1385,0,1,2,10,12.0,25,2
82999,SCROP83000,1385,0,1,2,15,31.0,10,2
83000,SCROP83001,1385,0,1,2,20,40.0,0,2
83001,SCROP83002,1385,0,1,2,25,13.0,24,1
83002,SCROP83003,1385,0,1,2,25,30.0,13,2
83003,SCROP83004,1385,0,1,2,30,20.0,21,3
83004,SCROP83005,1385,0,1,2,30,21.0,13,2
83005,SCROP83006,1385,0,1,2,30,25.0,4,2
83006,SCROP83007,1385,0,1,2,35,33.0,7,2
83007,SCROP83008,1385,0,1,2,35,46.0,0,2
83008,SCROP83009,1385,0,1,2,40,9.0,31,2
83009,SCROP83010,1385,0,1,2,40,20.0,19,1
83010,SCROP83011,1385,0,1,2,40,36.0,1,2
83011,SCROP83012,1385,0,1,2,50,38.0,9,3
83012,SCROP83013,1385,0,1,2,60,16.0,21,3
83013,SCROP83014,1385,0,1,2,60,20.0,18,1
83014,SCROP83015,1385,0,1,2,85,25.0,11,1
83015,SCROP83016,1385,0,1,2,20,37.0,6,2
83016,SCROP83017,1385,0,1,2,10,18.0,21,1
83017,SCROP83018,1385,0,1,2,20,46.0,3,2
83018,SCROP83019,1385,0,1,2,40,10.0,21,2
83019,SCROP83020,1385,0,1,2,30,12.0,30,1
83020,SCROP83021,1385,0,1,2,40,22.0,22,2
83021,SCROP83022,1478,0,1,2,80,39.0,9,2
83022,SCROP83023,1478,0,1,2,10,,6,1
83023,SCROP83024,1478,0,1,2,10,40.0,2,2
83024,SCROP83025,1478,0,1,2,15,21.0,24,3
83025,SCROP83026,1478,0,1,2,15,33.0,14,3
83026,SCROP83027,1478,0,1,2,20,17.0,27,1
83027,SCROP83028,1478,0,1,2,20,20.0,17,3
83028,SCROP83029,1478,0,1,2,20,20.0,20,2
83029,SCROP83030,1478,0,1,2,20,32.0,8,2
83030,SCROP83031,1478,0,1,2,20,,8,2
83031,SCROP83032,1478,0,1,2,25,30.0,11,2
83032,SCROP83033,1478,0,1,2,30,12.0,32,2
83033,SCROP83034,1478,0,1,2,30,13.0,28,1
83034,SCROP83035,1478,0,1,2,30,25.0,0,2
83035,SCROP83036,1478,0,1,2,30,30.0,7,2
83036,SCROP83037,1478,0,1,2,30,,16,2
83037,SCROP83038,1478,0,1,2,40,14.0,23,1
83038,SCROP83039,1478,0,1,2,40,,27,2
83039,SCROP83040,1478,0,1,2,40,29.0,3,3
83040,SCROP83041,1478,0,1,2,40,31.0,11,3
83041,SCROP83042,1478,0,1,2,40,38.0,9,3
83042,SCROP83043,1478,0,1,2,40,,3,1
83043,SCROP83044,1478,0,1,2,40,48.0,0,1
83044,SCROP83045,1478,0,1,2,50,28.0,18,1
83045,SCROP83046,1478,0,1,2,50,42.0,2,1
83046,SCROP83047,1478,0,1,2,55,22.0,22,3
83047,SCROP83048,1478,0,1,2,60,19.0,23,2
83048,SCROP83049,1478,0,1,2,60,,19,1
83049,SCROP83050,1478,0,1,2,60,42.0,6,2
83050,SCROP83051,1478,0,1,2,10,30.0,12,2
83051,SCROP83052,1478,0,1,2,30,43.0,5,2
83052,SCROP83053,1576,0,1,2,10,34.0,13,2
83053,SCROP83054,1576,0,1,2,15,36.0,8,2
83054,SCROP83055,1576,0,1,2,10,13.0,28,1
83055,SCROP83056,1576,0,1,2,10,27.0,15,3
83056,SCROP83057,1575,0,1,2,10,35.0,8,1
83057,SCROP83058,1576,0,1,2,20,10.0,29,2
83058,SCROP83059,1576,0,1,2,20,14.0,13,2
